Region,State,N,PrevUt,PrevTx,Pr_Pub_CSI,Pr_Pub_CSI0,Pr_Pub_CSI1,Pr_Asym,Pr_NotAware,Pr_NotCS,Pr_NotDet,Pop,CNR_pub,CNR_eng,TxI_pub,TxI_eng,TxSucc_pub,TxSucc_eng,TxDead_pub,TxDead_eng,TxLTFU_pub,TxLTFU_eng
India,India,322480,278.1567847885141,183.63439911095264,0.4962686567164179,0.636,0.640625,0.6327231121281465,0.20728242372675337,0.03180804456165013,0.12818641958345003,1357660000,9.100000000000001e-4,4e-4,0.9400000000000001,0.9500000000000001,0.9032258064516129,0.9102564102564102,0.043010752688172046,0.02564102564102564,0.053763440860215055,0.0641025641025641
Southern,Andhra Pradesh,16151,257.552843378119,106.38052226487524,0.5450643776824035,0.6226415094339622,0.6956521739130435,0.5869565217391305,0.1854238348451673,0.08082577416327806,0.14679386925242413,52190000,8.900000000000001e-4,3.3000000000000005e-4,0.98,0.99,0.9175257731958762,0.9591836734693877,0.05154639175257732,0.01020408163265306,0.030927835051546393,0.030612244897959183
Northeastern,Arunachal Pradesh,15975,218.9591450140845,176.3837557057903,0.8562091503267973,1,1,0.6111111111111112,0.2083654092891968,0.06197074672825249,0.11855273287143955,1620000,0.0015400000000000001,0,0.98,0.98,0.8913043478260869,1,0.021739130434782608,0,0.08695652173913043,0
Northeastern,Assam,15975,218.9591450140845,176.3837557057903,0.8562091503267973,1,1,0.6111111111111112,0.2083654092891968,0.06197074672825249,0.11855273287143955,34620000,8.300000000000001e-4,1.7e-4,0.9500000000000001,0.92,0.9052631578947369,0.967741935483871,0.042105263157894736,0.016129032258064516,0.05263157894736842,0.016129032258064516
Eastern,Bihar,23339,216.88239352157333,304.9908658897125,0.5314685314685315,0.5833333333333334,0.5384615384615384,0.609375,0.27314101043643263,0.03298446394686907,0.0844995256166983,122430000,4.1000000000000005e-4,3.8e-4,0.93,0.98,0.9090909090909091,0.8985507246376812,0.022727272727272728,0.028985507246376812,0.06818181818181818,0.07246376811594203
Northern,Chandigarh,10134,235.75394058614566,325.564965571344,0.4321157822191592,0.6055045871559633,0.6,0.8095238095238095,0.103962195565249,0.011632133769538349,0.07488186114140312,1160000,0.00321,4.5000000000000004e-4,0.96,0.73,0.9263157894736842,0.9176470588235294,0.031578947368421054,0.07058823529411765,0.042105263157894736,0.011764705882352941
Central,Chhattisgarh,10075,420.6038603672457,210.30193018362286,0.54375,0.6153846153846154,0.6875,0.8571428571428571,0.09453781512605045,0.005602240896358545,0.04271708683473391,29540000,7.000000000000001e-4,2.8000000000000003e-4,0.99,0.98,0.9270833333333334,0.9571428571428572,0.041666666666666664,0.014285714285714285,0.03125,0.02857142857142857
Northern,Delhi,6831,683.4650856389987,384.4491106719368,0.4321157822191592,0.6055045871559633,0.6,0.6875,0.20135309278350516,0.019329896907216496,0.09181701030927836,18790000,0.0031300000000000004,0.00143,0.87,0.67,0.9166666666666666,0.7916666666666666,0.023809523809523808,0.041666666666666664,0.05952380952380952,0.16666666666666666
Western,Gujarat,22750,115.1260504,115.1260504,0.3818424566088118,0.6521739130434783,0.7692307692307693,0.8076923076923077,0.08106508875739644,0.017159763313609466,0.09408284023668638,68720000,0.00111,6.2e-4,0.97,0.99,0.8936170212765957,0.8953488372093024,0.06382978723404255,0.023255813953488372,0.0425531914893617,0.08139534883720931
Northern,Haryana,4515,476.7954798006644,150.56699362126247,0.4321157822191592,0.6055045871559633,0.6,0.6842105263157895,0.2313341493268054,0.05140758873929008,0.033047735618115054,28970000,0.0014000000000000002,7.300000000000001e-4,0.92,0.93,0.9139784946236559,0.8888888888888888,0.043010752688172046,0.024691358024691357,0.043010752688172046,0.08641975308641975
Northern,Himachal Pradesh,7182,326.7973857142857,257.99793609022555,0.4321157822191592,0.6055045871559633,0.6,0.6842105263157895,0.16813364469193462,0.028022274115322432,0.11963355487695349,7430000,0.0016200000000000001,1.7e-4,0.98,0.9,0.9368421052631579,0.9425287356321839,0.042105263157894736,0.034482758620689655,0.021052631578947368,0.022988505747126436
Northern,Jammu & Kashmir,7182,326.7973857142857,257.99793609022555,0.4321157822191592,0.6055045871559633,0.6,0.6842105263157895,0.16813364469193462,0.028022274115322432,0.11963355487695349,14600000,5.5e-4,6.000000000000001e-5,0.9500000000000001,0.9500000000000001,0.9333333333333333,0.9848484848484849,0.03333333333333333,0,0.03333333333333333,0.015151515151515152
Eastern,Jharkhand,12569,255.32205089505928,307.69580492481504,0.5314685314685315,0.5833333333333334,0.5384615384615384,0.6923076923076923,0.22792022792022792,0.007834757834757835,0.07193732193732194,38760000,7.6e-4,3.9000000000000005e-4,0.97,0.99,0.9368421052631579,0.9253731343283582,0.031578947368421054,0.014925373134328358,0.031578947368421054,0.05970149253731343
Southern,Karnataka,15518,288.53714275035435,91.11699244748034,0.5450643776824035,0.6226415094339622,0.6956521739130435,0.5,0.14324324324324325,0.11711711711711711,0.23963963963963963,67690000,7.1e-4,2.5e-4,0.9500000000000001,0.9,0.8617021276595744,0.9146341463414634,0.07446808510638298,0.036585365853658534,0.06382978723404255,0.04878048780487805
