,count,mean,std,min,25%,50%,75%,max
Inc,1999.0,0.0018131096462336352,0.0001848644734060836,0.001348182460234914,0.0016886781510372711,0.0017962229716738758,0.0019154004105034757,0.0026393093072137634
PrevA,1999.0,0.0013140677370413003,1.6484164346554767e-17,0.0013140677370412999,0.0013140677370413,0.0013140677370413,0.0013140677370413,0.0013140677370413003
PrevS,1999.0,8.21292335650816e-05,1.301516168225371e-18,8.21292335650816e-05,8.212923356508162e-05,8.212923356508162e-05,8.212923356508162e-05,8.212923356508165e-05
PrevC,1999.0,0.00016425846713016322,2.6031965484088053e-18,0.0001642584671301631,0.00016425846713016322,0.00016425846713016324,0.00016425846713016327,0.0001642584671301634
MorUt,1999.0,0.00013651451367168243,6.347829533247448e-05,2.6228842960153872e-05,8.489657789934496e-05,0.00013102298314942272,0.00018318441532509368,0.0003072771944138112
DelayPat,1999.0,0.054713075515549284,0.004964279770952077,0.03647134080284707,0.05178738732848547,0.054843892289451655,0.05815393288848527,0.0665191186006558
DelaySys,1999.0,0.11068781596117441,0.010156337675133737,0.07354033798304588,0.10472207957241816,0.11087731272381024,0.11784238117902804,0.13427834790008583
DelayTot,1999.0,0.16540089147672368,0.015117772676391672,0.11001167878589295,0.15657599115235787,0.16567590378773586,0.175995285163818,0.20079746650074165
DropDieA,1999.0,0.0525082682833431,0.030963069521181146,6.522725145673109e-05,0.02724900992781638,0.05110509002187473,0.07564538755373024,0.14167094044088438
DropDieS,1999.0,0.006609336328593334,0.001336336588270389,0.003588450046701406,0.005520135444093816,0.006604753700875619,0.007603299418536691,0.011018787184534369
DropDieC,1999.0,0.013113965597466866,0.0026506474307627518,0.007095331635836655,0.010949780008042649,0.013110307194857963,0.015081266752990565,0.021889758433759048
DropDieT,1999.0,0.03888123371465751,0.0029879352138234643,0.0305128919119629,0.03675894890855398,0.03883709838711326,0.040786149695618217,0.049584457961152274
DropSelfCureA,1999.0,0.13952125603242937,0.036069629143931914,0.06097600111887444,0.10881642765551436,0.14082449040556305,0.16851894085772134,0.22406045927961626
DropSelfCureS,1999.0,0.008698317848047825,0.0022483465855078037,0.0038043438738552043,0.00678432180020915,0.008776549721672583,0.010508594650167314,0.013965545942776445
DropSelfCureC,1999.0,0.017258885029341475,0.004460530156036489,0.0075585421108162465,0.013475906100121431,0.017416443659850733,0.020859078073776217,0.027726137049754337
DropLTFU,1999.0,0.12195880759131601,0.02268315673793791,0.08139367921608089,0.10799515056930077,0.11727290686401363,0.1295791483151273,0.34236578384054306
p_a2die,1999.0,0.0525082682833431,0.030963069521181146,6.522725145673109e-05,0.02724900992781638,0.05110509002187473,0.07564538755373024,0.14167094044088438
p_a2sc,1999.0,0.13952125603242937,0.036069629143931914,0.06097600111887444,0.10881642765551436,0.14082449040556305,0.16851894085772134,0.22406045927961626
