,count,mean,std,min,25%,50%,75%,max
Inc,2000.0,0.0019391537190299676,0.00022674369848991858,0.001324796889789278,0.0017797719541539367,0.0019208645841139978,0.002071751887911717,0.0032821000627297234
PrevA,2000.0,0.0007227720706838097,1.7568832025428067e-17,0.0007227720706838097,0.0007227720706838098,0.0007227720706838098,0.0007227720706838098,0.0007227720706838099
PrevS,2000.0,0.0005420790530128573,1.0736918779321795e-17,0.0005420790530128571,0.0005420790530128573,0.0005420790530128573,0.0005420790530128573,0.0005420790530128576
PrevC,2000.0,0.0006625410647934924,5.42473459626359e-18,0.0006625410647934913,0.0006625410647934922,0.0006625410647934923,0.0006625410647934924,0.0006625410647934936
MorUt,2000.0,0.00023466549594331403,5.513478961497617e-05,0.00012107359187016182,0.0001926712647149997,0.00022935198227446783,0.0002752442089873116,0.0003797304216150569
DelayPat,2000.0,0.3054164195012515,0.03301187985869456,0.17214874235618108,0.2840660906288817,0.30593400994264075,0.3272805342842244,0.4332014082097777
DelaySys,2000.0,0.40521416795071197,0.04566212967577148,0.21108568962967325,0.3773830619639106,0.40709067722609094,0.4341811152619113,0.5658130209142195
DelayTot,2000.0,0.7106305874519634,0.07831923305696394,0.38323443198585433,0.6627408634712908,0.712488509273123,0.7615659859158799,0.9990144291239972
DropDieA,2000.0,0.027421531110340253,0.016844416807080875,7.3423182013838875e-06,0.013255213756831651,0.026786244653085017,0.03967886873223196,0.07956683393503357
DropDieS,2000.0,0.040952134626315286,0.008214526214391645,0.02208582410114425,0.03468896015565767,0.04036817133096002,0.046920858549180496,0.07221459622817564
DropDieC,2000.0,0.04850778584020749,0.009726988432715727,0.025622911393163642,0.041033930013097554,0.04790442440835452,0.0555855273401444,0.0849169265056904
DropDieT,2000.0,0.029790763869174654,0.0037132425238461733,0.018459319120184486,0.027349119195569607,0.029933301743306245,0.03231749691412438,0.040748860467735036
DropSelfCureA,2000.0,0.07361285978613531,0.01885290413726266,0.026956425729743563,0.057552573242378655,0.07461043763256225,0.08832575892640412,0.12248534217791782
DropSelfCureS,2000.0,0.05444381419228051,0.013942238187049294,0.02002310314285977,0.04255582205015575,0.055120436464023086,0.06537409310437794,0.09041849106673319
DropSelfCureC,2000.0,0.06450050939786461,0.01655322065293574,0.022027747727185146,0.05040026226596105,0.06510772097136566,0.07737413363633296,0.10684713369812848
DropLTFU,2000.0,0.05469109067802104,0.04328209862503431,-0.05136733926858482,0.03641937403893822,0.04052057701385485,0.04636288544650872,0.3806689738720864
p_a2die,2000.0,0.027421531110340253,0.016844416807080875,7.3423182013838875e-06,0.013255213756831651,0.026786244653085017,0.03967886873223196,0.07956683393503357
p_a2sc,2000.0,0.07361285978613531,0.01885290413726266,0.026956425729743563,0.057552573242378655,0.07461043763256225,0.08832575892640412,0.12248534217791782
p_a2s,2000.0,0.8989656091035244,0.02354146835523418,0.8191442332834954,0.8820637585674025,0.898624264767794,0.9156733134643305,0.9639108656940133
p_s2die,2000.0,0.04559417670781958,0.009246411827709751,0.024262083923399732,0.038482692308524864,0.04512312419938168,0.05252178768229779,0.0769750362612551
p_s2sc,2000.0,0.060890118326384836,0.01667536467316453,0.02121379432268869,0.04670462466995734,0.06137092477096536,0.07382717738253695,0.103642208451463
p_s2e,2000.0,0.5443336637603395,0.08870634124164027,0.10578276864748308,0.4896822624868644,0.5499517081151114,0.6076602939552227,0.7708328485225704
p_s2tu,2000.0,0.2206237942905269,0.04926284424205524,0.10253121574187361,0.18485615161789082,0.21983731613936894,0.2566253254631948,0.35827170870198294
p_s2ti,2000.0,0.12855824691492931,0.056669407470518726,0.01829703791480119,0.0902015738441738,0.11832497414594635,0.15471242085783354,0.5381210578066191
p_c2die,2000.0,0.10173478913282155,0.026600751524405775,0.04686885678738195,0.08295044573628677,0.09951508592284779,0.11730091210833499,0.4395907304716485
p_c2sc,2000.0,0.13599391709921327,0.042839475251215176,0.04749313462191535,0.10265451080998661,0.13341080074167724,0.16427304091925682,0.3694467631568965
p_c2tu,2000.0,0.48963768522112466,0.06542904624819561,0.12072275669881177,0.4535308787058998,0.49403238399796534,0.533738099521388,0.7055650354711706
p_c2ti,2000.0,0.2726336085468405,0.06119278104790223,0.10591481261051953,0.23203155402974715,0.2695270863786818,0.3090156799147008,0.5327834533655099
p_tu2txs,2000.0,0.8729572433568644,2.3320514374670277e-14,0.8729572433568643,0.8729572433568643,0.8729572433568643,0.8729572433568643,0.8729572433568643
p_tu2txl,2000.0,0.08841719013887711,3.3315020535243255e-16,0.08841719013887712,0.08841719013887712,0.08841719013887712,0.08841719013887712,0.08841719013887712
p_tu2txd,2000.0,0.0386255665042586,9.439255818318921e-16,0.0386255665042586,0.0386255665042586,0.0386255665042586,0.0386255665042586,0.0386255665042586
p_ti2txs,2000.0,0.9022514784807546,0.12107117225870095,0.2793795251677339,0.9269670171478452,0.9367990624616607,0.9526627757492538,1.3560447280090595
p_ti2txl,2000.0,0.044181253059307465,0.13214635889848148,-0.4195853469264745,-0.01564864503467773,0.0020573357135971796,0.024570963368855336,0.7021646198845926
p_ti2txd,2000.0,0.05356726845993781,0.014747582220742118,0.01345526089741563,0.04297986311744402,0.05459700997667149,0.066166342633379,0.07721573113179338
CasOnset,2000.0,0.8989656091035244,0.02354146835523418,0.8191442332834954,0.8820637585674025,0.898624264767794,0.9156733134643305,0.9639108656940133
CasCSI,2000.0,0.8035696602849287,0.03534469808519157,0.6811789299925195,0.7780807620117125,0.8022541014376019,0.8296295006448384,0.91559219929015
CasTxI,2000.0,0.6905613650468565,0.05145584607985586,0.5175760847554187,0.653316323651891,0.6892791352976599,0.7282074336330955,0.8586049024162463
CasTxS,2000.0,0.6060795104996608,0.053210975546517394,0.41718990274548495,0.5716910612379164,0.6063305085042402,0.6424584686809772,0.762401435728669
CDR,2000.0,0.6905613650468565,0.05145584607985586,0.5175760847554187,0.653316323651891,0.6892791352976599,0.7282074336330955,0.8586049024162463
